Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.8.8.178-157.55.56.159-15685-40005-17,10.8.8.178,15685,157.55.56.159,40005,17,3/6/2015 15:47,226589,1,1,34,871,34,34,34,0,871,871,871,0,3994.015597,8.826553805,226589,0,226589,226589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.413276902,4.413276902,34,871,313,483.2421753,233523,0,0,0,0,0,0,0,0,1,469.5,34,871,0,0,0,0,0,0,0,17,0,435,0,0,0,8,0,0,0,0,0,0,0,0
10.152.152.11-104.20.18.28-45445-443-6,10.152.152.11,45445,104.20.18.28,443,6,24/02/2016 01:46:29 PM,119642090,18,17,1013,6729,515,0,56.27777778,127.8251589,1460,0,395.8235294,529.3327445,64.70966865,0.292539189,3518885,13930067.04,58516371,4,119642090,7037770,19336756.16,58516371,13,119641949,7477621.813,19883000.55,58516704,11,0,0,0,0,372,352,0.150448726,0.142090463,0,1460,215.0555556,407.6554529,166182.9683,0,2,0,14,34,0,0,0,0,221.2,56.27777778,395.8235294,0,0,0,0,12,3959,0,28,0,192,14600,1114,6,20,0,0,0,0,1.45634E+15,37703150.33,1.45634E+15,1.45634E+15
10.152.152.11-31.13.90.2-33785-443-6,10.152.152.11,33785,31.13.90.2,443,6,24/02/2016 01:49:25 PM,4027920,5,3,117,41,45,0,23.4,21.96132965,41,0,13.66666667,23.67136104,39.22620112,1.986136765,575417.1429,1417588.067,3783662,27,4027920,1006980,1854649.668,3783662,27,4026770,2013385,2503930.166,3783931,242839,1,0,0,0,100,60,1.241335478,0.744801287,0,45,22.11111111,21.29814807,453.6111111,1,0,0,4,8,0,0,0,0,24.875,23.4,13.66666667,0,0,0,0,0,0,0,14,0,5,2008,1126,2,20,0,0,0,0,1.45634E+15,2119290.231,1.45634E+15,1.45634E+15
10.152.152.11-94.23.249.106-48327-12345-6,10.152.152.11,48327,94.23.249.106,12345,6,24/02/2016 10:12:41 AM,67865328,4,3,201,114,197,0,50.25,97.85150314,114,0,38,65.81793069,4.641545385,0.103145453,11310888,15197630.46,35649179,7,43611940,14537313.33,18711872.44,35649179,47,59902574,29951287,8059168.928,35649980,24252594,1,0,0,0,80,60,0.058940259,0.044205194,0,197,39.875,74.75376245,5588.125,1,0,0,3,7,0,0,0,0,45.57142857,50.25,38,0,0,0,0,0,0,0,28,0,16,1643,1825,1,20,0,0,0,0,1.16506E+15,6.51288E+14,1.45632E+15,24251800
10.152.152.11-94.23.249.106-48327-12345-6,10.152.152.11,48327,94.23.249.106,12345,6,24/02/2016 10:13:49 AM,342720,2,0,0,0,0,0,0,0,0,0,0,0,0,5.8356676,342720,0,342720,342720,342720,342720,0,342720,342720,0,0,0,0,0,0,0,0,0,40,0,5.8356676,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1825,0,0,20,0,0,0,0,0,0,0,0
10.152.152.11-216.58.208.78-54353-443-6,10.152.152.11,54353,216.58.208.78,443,6,15/07/2015 09:42:22 AM,108663797,26,26,3399,8559,709,0,130.7307692,236.2142346,1460,0,329.1923077,550.6751506,110.0458509,0.478540245,2130662.686,8023652.797,45055724,3,108663634,4346545.36,11140098.57,45056053,11,108663468,4346538.72,11140287.57,45057467,6,0,0,0,0,520,520,0.239270122,0.239270122,0,1460,225.6226415,428.3223636,183460.0472,0,0,0,21,52,0,0,0,1,229.9615385,130.7307692,329.1923077,0,0,0,0,6,6781,0,65,0,164,5252,2640,11,20,0,0,0,0,1.43696E+15,20551333.67,1.43696E+15,1.43696E+15
10.152.152.11-173.194.112.6-55641-443-6,10.152.152.11,55641,173.194.112.6,443,6,15/07/2015 09:42:12 AM,109540375,34,36,6531,2144,773,0,192.0882353,281.0938986,207,0,59.55555556,85.57150542,79.19454356,0.639033781,1587541.667,5341060.293,28681050,5,109539823,3319388.576,7395747.91,28681666,162,109368829,3124823.686,7222732.723,28681890,5,1,0,0,0,680,720,0.310387836,0.328645945,0,773,123.1549296,212.9336347,45340.7328,0,0,0,37,70,0,0,0,1,124.9142857,192.0882353,59.55555556,0,0,0,0,5,2010,0,93,0,30,2679,2679,22,20,0,0,0,0,1.43696E+15,36785057.58,1.43696E+15,1.43696E+15
131.202.240.242-198.7.63.141-54438-53-17,131.202.240.242,54438,198.7.63.141,53,17,25/05/2015 01:55:24 PM,57244,1,1,27,85,27,27,27,0,85,85,85,0,1956.53693,34.93815946,57244,0,57244,57244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,17.46907973,17.46907973,27,85,46.33333333,33.48631561,1121.333333,0,0,0,0,0,0,0,0,1,69.5,27,85,0,0,0,0,0,0,0,13,0,42,0,0,0,8,0,0,0,0,0,0,0,0
131.202.240.93-131.202.243.255-137-137-17,131.202.240.93,137,131.202.243.255,137,17,25/05/2015 01:57:24 PM,1499741,3,0,150,0,50,50,50,0,0,0,0,0,100.0172696,2.000345393,749870.5,300.520382,750083,749658,1499741,749870.5,300.520382,750083,749658,0,0,0,0,0,0,0,0,0,24,0,2.000345393,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,66.66666667,50,0,0,0,0,0,0,0,1,50,0,0,0,0,2,8,0,0,0,0,1.43257E+15,0,1.43257E+15,1.43257E+15
131.202.243.49-224.0.0.252-64297-5355-17,131.202.243.49,64297,224.0.0.252,5355,17,25/05/2015 01:58:53 PM,420532,2,0,44,0,22,22,22,0,0,0,0,0,104.6293742,4.755880646,420532,0,420532,420532,420532,420532,0,420532,420532,0,0,0,0,0,0,0,0,0,16,0,4.755880646,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,1,22,0,0,0,0,1,8,0,0,0,0,0,0,0,0
